,u1,u2,weight,obj,time
1,180,120,0.2,223.6666667,0.0561173
3,180,120,0.4,244,0.1163573
4,180,120,0.5,254.1666667,0.1657416
5,180,120,0.6,264.3333333,0.2137291
6,180,120,0.8,284.6666667,0.3575711
7,180,200,0.2,332.1111111,0.0353159
8,180,200,0.4,325.3333333,0.103593
9,180,200,0.5,321.9444444,0.1826965
10,180,200,0.6,318.5555556,0.2025316
11,180,200,0.8,311.7777778,0.2936066
12,180,300,0.2,467.6666667,0.0684137
13,180,300,0.4,427,0.1209004
14,180,300,0.5,406.6666667,0.1849905
15,180,300,0.6,386.3333333,0.2246389
16,180,300,0.8,345.6666667,0.3333549
