,Distribution_type,U,Sigma,U2,Sigma2,mixing_prob,limitk,per_red,Objective_function_value,Solution_locations,Running_time(sec)
0,Normal_bimodal,180,30,300,60,0.2,300,5.0,472.5080376578529,4 1|2 5|1 1,1.6697844
1,Normal_bimodal,180,30,300,60,0.2,300,15.0,472.5080376578529,5 5|0 2|5 0,3.8894837
2,Normal_bimodal,180,30,300,60,0.2,300,25.0,472.5080376578529,5 5|0 2|5 0,3.8838887
3,Normal_bimodal,180,30,300,60,0.2,300,40.0,472.5080376578529,5 5|0 2|5 0,4.3329291
4,Normal_bimodal,180,30,300,60,0.2,300,50.0,472.5080376578529,5 5|0 2|5 0,4.1159113
5,Normal_bimodal,180,30,300,60,0.4,300,5.0,431.4195644172034,0 2|3 1|3 4,2.0036041
6,Normal_bimodal,180,30,300,60,0.4,300,15.0,431.4195644172034,3 5|0 2|3 2,4.4754071
7,Normal_bimodal,180,30,300,60,0.4,300,25.0,431.4195644172034,3 5|0 2|3 2,4.3748523
8,Normal_bimodal,180,30,300,60,0.4,300,40.0,431.4195644172034,3 5|0 2|3 2,4.2281579
9,Normal_bimodal,180,30,300,60,0.4,300,50.0,431.4195644172034,3 5|0 2|3 2,4.8614822
10,Normal_bimodal,180,30,300,60,0.5,300,5.0,414.70616863076305,2 5|1 2|4 2,2.1142009
11,Normal_bimodal,180,30,300,60,0.5,300,15.0,414.70616863076305,1 5|2 2|4 5,5.2822014
12,Normal_bimodal,180,30,300,60,0.5,300,25.0,414.70616863076305,1 5|2 2|4 5,4.1727261
13,Normal_bimodal,180,30,300,60,0.5,300,40.0,414.70616863076305,1 5|2 2|4 5,4.2312033
14,Normal_bimodal,180,30,300,60,0.5,300,50.0,414.70616863076305,1 5|2 2|4 5,4.5416226
15,Normal_bimodal,180,30,300,60,0.6,300,5.0,386.6490012094265,4 4|1 3|3 0,1.8578812
16,Normal_bimodal,180,30,300,60,0.6,300,15.0,386.6490012094265,1 1|2 4|4 3,5.1531416
17,Normal_bimodal,180,30,300,60,0.6,300,25.0,386.6490012094265,1 1|2 4|4 3,4.6550159
18,Normal_bimodal,180,30,300,60,0.6,300,40.0,386.6490012094265,1 1|2 4|4 3,4.7606602
19,Normal_bimodal,180,30,300,60,0.6,300,50.0,386.6490012094265,1 1|2 4|4 3,4.4493566
20,Normal_bimodal,180,30,300,60,0.8,300,5.0,354.0792098163853,5 1|1 1|3 4,1.7418829
21,Normal_bimodal,180,30,300,60,0.8,300,15.0,348.7346201110234,0 1|5 2|5 1,4.5517169
22,Normal_bimodal,180,30,300,60,0.8,300,25.0,348.7346201110234,0 1|5 2|5 1,4.5425706
23,Normal_bimodal,180,30,300,60,0.8,300,40.0,348.7346201110234,0 1|5 2|5 1,4.7156345
24,Normal_bimodal,180,30,300,60,0.8,300,50.0,348.7346201110234,0 1|5 2|5 1,4.491331
25,Normal_bimodal,180,30,300,50,0.2,300,5.0,473.57090802822324,4 1|2 5|1 1,1.6901364
26,Normal_bimodal,180,30,300,50,0.2,300,15.0,473.57090802822324,5 5|0 2|5 0,5.0294909
27,Normal_bimodal,180,30,300,50,0.2,300,25.0,473.57090802822324,5 5|0 2|5 0,4.5604427
28,Normal_bimodal,180,30,300,50,0.2,300,40.0,473.57090802822324,5 5|0 2|5 0,4.539365
29,Normal_bimodal,180,30,300,50,0.2,300,50.0,473.57090802822324,5 5|0 2|5 0,4.5358474
30,Normal_bimodal,180,30,300,50,0.4,300,5.0,431.7424347875738,0 2|3 1|3 4,2.6739785
31,Normal_bimodal,180,30,300,50,0.4,300,15.0,431.7424347875738,3 4|5 2|1 1,4.841332
32,Normal_bimodal,180,30,300,50,0.4,300,25.0,431.7424347875738,3 4|5 2|1 1,4.5212898
33,Normal_bimodal,180,30,300,50,0.4,300,40.0,431.7424347875738,3 4|5 2|1 1,4.643993
34,Normal_bimodal,180,30,300,50,0.4,300,50.0,431.7424347875738,3 4|5 2|1 1,4.4428233
35,Normal_bimodal,180,30,300,50,0.5,300,5.0,414.6217241863186,2 5|1 2|4 2,2.0651094
36,Normal_bimodal,180,30,300,50,0.5,300,15.0,414.6217241863186,1 5|2 2|4 5,4.4761354
37,Normal_bimodal,180,30,300,50,0.5,300,25.0,414.6217241863186,1 5|2 2|4 5,4.5447034
38,Normal_bimodal,180,30,300,50,0.5,300,40.0,414.6217241863186,1 5|2 2|4 5,4.5316183
39,Normal_bimodal,180,30,300,50,0.5,300,50.0,414.6217241863186,1 5|2 2|4 5,4.5215434
40,Normal_bimodal,180,30,300,50,0.6,300,5.0,386.6487234316487,4 4|1 3|3 0,2.0983154
41,Normal_bimodal,180,30,300,50,0.6,300,15.0,386.6487234316487,1 1|2 4|4 3,4.4740536
42,Normal_bimodal,180,30,300,50,0.6,300,25.0,386.6487234316487,1 1|2 4|4 3,4.6605508
43,Normal_bimodal,180,30,300,50,0.6,300,40.0,386.6487234316487,1 1|2 4|4 3,6.2480365
44,Normal_bimodal,180,30,300,50,0.6,300,50.0,386.6487234316487,1 1|2 4|4 3,5.7054049
45,Normal_bimodal,180,30,300,50,0.8,300,5.0,353.9215246312001,5 1|1 1|3 4,1.9108782
46,Normal_bimodal,180,30,300,50,0.8,300,15.0,348.8450830739863,1 0|0 5|0 2,4.8528316
47,Normal_bimodal,180,30,300,50,0.8,300,25.0,348.8450830739863,1 0|0 5|0 2,4.8777228
48,Normal_bimodal,180,30,300,50,0.8,300,40.0,348.8450830739863,1 0|0 5|0 2,5.1413408
49,Normal_bimodal,180,30,300,50,0.8,300,50.0,348.8450830739863,1 0|0 5|0 2,5.0739621
50,Normal_bimodal,180,30,300,40,0.2,300,5.0,474.7763709911862,4 1|2 5|1 1,1.8123911
51,Normal_bimodal,180,30,300,40,0.2,300,15.0,474.7763709911862,5 5|0 2|5 0,4.6422194
52,Normal_bimodal,180,30,300,40,0.2,300,25.0,474.7763709911862,5 5|0 2|5 0,4.5727745
53,Normal_bimodal,180,30,300,40,0.2,300,40.0,474.7763709911862,5 5|0 2|5 0,5.7492598
