,Distribution_type,U,Sigma,U2,Sigma2,mixing_prob,limitk,per_red,Objective_function_value,Solution_locations,Running_time(sec)
0,Normal_bimodal,180,30,300,60,0.2,300,5.0,1019.4301376097887,2 5|6 3|9 8,6.0422294
1,Normal_bimodal,180,30,300,60,0.2,300,15.0,990.8909118670273,4 11|6 3|8 9,13.9300295
2,Normal_bimodal,180,30,300,60,0.2,300,25.0,990.8909118670273,4 11|6 3|8 9,13.6961216
3,Normal_bimodal,180,30,300,60,0.2,300,40.0,990.8909118670273,4 11|6 3|8 9,13.6887132
4,Normal_bimodal,180,30,300,60,0.2,300,50.0,990.8909118670273,4 11|6 3|8 9,14.148126
5,Normal_bimodal,180,30,300,60,0.4,300,5.0,938.8033221157532,4 1|3 10|10 7,5.8377408
6,Normal_bimodal,180,30,300,60,0.4,300,15.0,919.8105014454974,6 9|6 1|11 8,21.4478403
7,Normal_bimodal,180,30,300,60,0.4,300,25.0,919.8105014454974,6 9|6 1|11 8,21.623782
8,Normal_bimodal,180,30,300,60,0.4,300,40.0,919.8105014454974,6 9|6 1|11 8,20.7111521
9,Normal_bimodal,180,30,300,60,0.4,300,50.0,919.8105014454974,6 9|6 1|11 8,20.7848108
10,Normal_bimodal,180,30,300,60,0.5,300,5.0,909.3584263793971,3 3|3 7|8 6,6.1643181
11,Normal_bimodal,180,30,300,60,0.5,300,15.0,866.6495002427384,5 11|0 6|8 8,20.3583813
12,Normal_bimodal,180,30,300,60,0.5,300,25.0,866.6495002427384,5 11|0 6|8 8,20.2308237
13,Normal_bimodal,180,30,300,60,0.5,300,40.0,866.6495002427384,5 11|0 6|8 8,21.7277347
14,Normal_bimodal,180,30,300,60,0.5,300,50.0,866.6495002427384,5 11|0 6|8 8,29.7451513
15,Normal_bimodal,180,30,300,60,0.6,300,5.0,866.8011241808085,2 1|4 9|10 7,8.9168414
16,Normal_bimodal,180,30,300,60,0.6,300,15.0,824.5304136791174,8 8|10 0|0 6,25.2986033
17,Normal_bimodal,180,30,300,60,0.6,300,25.0,824.5304136791174,8 8|10 0|0 6,21.1949507
18,Normal_bimodal,180,30,300,60,0.6,300,40.0,824.5304136791174,8 8|10 0|0 6,23.0155807
19,Normal_bimodal,180,30,300,60,0.6,300,50.0,824.5304136791174,8 8|10 0|0 6,20.4656542
20,Normal_bimodal,180,30,300,60,0.8,300,5.0,740.8197427497462,2 2|3 9|10 6,5.9509636
21,Normal_bimodal,180,30,300,60,0.8,300,15.0,736.8455002906568,7 7|9 7|3 1,20.9595093
22,Normal_bimodal,180,30,300,60,0.8,300,25.0,736.8455002906568,7 7|9 7|3 1,20.1529683
23,Normal_bimodal,180,30,300,60,0.8,300,40.0,736.8455002906568,7 7|9 7|3 1,20.7032381
24,Normal_bimodal,180,30,300,60,0.8,300,50.0,736.8455002906568,7 7|9 7|3 1,19.8742393
25,Normal_bimodal,180,30,300,50,0.2,300,5.0,1019.8135172394179,2 5|6 3|9 8,5.8500243
26,Normal_bimodal,180,30,300,50,0.2,300,15.0,991.4355067744348,4 11|6 3|8 9,13.6806634
27,Normal_bimodal,180,30,300,50,0.2,300,25.0,991.4355067744348,4 11|6 3|8 9,14.0119712
28,Normal_bimodal,180,30,300,50,0.2,300,40.0,991.4355067744348,4 11|6 3|8 9,13.5791461
29,Normal_bimodal,180,30,300,50,0.2,300,50.0,991.4355067744348,4 11|6 3|8 9,13.9133246
30,Normal_bimodal,180,30,300,50,0.4,300,5.0,961.022560752971,3 1|3 9|10 8,5.8721956
31,Normal_bimodal,180,30,300,50,0.4,300,15.0,919.8965662603122,6 9|6 1|11 8,20.7940902
32,Normal_bimodal,180,30,300,50,0.4,300,25.0,919.8965662603122,6 9|6 1|11 8,20.1102032
33,Normal_bimodal,180,30,300,50,0.4,300,40.0,919.8965662603122,6 9|6 1|11 8,20.0976628
34,Normal_bimodal,180,30,300,50,0.4,300,50.0,919.8965662603122,6 9|6 1|11 8,20.1522146
35,Normal_bimodal,180,30,300,50,0.5,300,5.0,909.0793870275452,3 3|3 7|8 6,5.7348787
36,Normal_bimodal,180,30,300,50,0.5,300,15.0,866.1821854279237,5 11|0 6|8 8,19.7727985
37,Normal_bimodal,180,30,300,50,0.5,300,25.0,866.1821854279237,5 11|0 6|8 8,20.0969889
38,Normal_bimodal,180,30,300,50,0.5,300,40.0,866.1821854279237,5 11|0 6|8 8,20.5921097
39,Normal_bimodal,180,30,300,50,0.5,300,50.0,866.1821854279237,5 11|0 6|8 8,20.0324869
40,Normal_bimodal,180,30,300,50,0.6,300,5.0,866.3983926993274,2 1|4 9|10 7,5.7464024
41,Normal_bimodal,180,30,300,50,0.6,300,15.0,824.4943720124508,8 8|10 0|0 6,20.4647372
42,Normal_bimodal,180,30,300,50,0.6,300,25.0,824.4943720124508,8 8|10 0|0 6,19.9477792
43,Normal_bimodal,180,30,300,50,0.6,300,40.0,824.4943720124508,8 8|10 0|0 6,20.0599434
44,Normal_bimodal,180,30,300,50,0.6,300,50.0,824.4943720124508,8 8|10 0|0 6,20.2661075
45,Normal_bimodal,180,30,300,50,0.8,300,5.0,740.9629487682646,2 2|3 9|10 6,5.7284895
46,Normal_bimodal,180,30,300,50,0.8,300,15.0,736.7032009079406,7 7|9 7|3 1,20.2868012
47,Normal_bimodal,180,30,300,50,0.8,300,25.0,736.7032009079406,7 7|9 7|3 1,20.4960428
48,Normal_bimodal,180,30,300,50,0.8,300,40.0,736.7032009079406,7 7|9 7|3 1,20.2966253
49,Normal_bimodal,180,30,300,50,0.8,300,50.0,736.7032009079406,7 7|9 7|3 1,20.2592052
50,Normal_bimodal,180,30,300,40,0.2,300,5.0,1020.2823366838628,2 5|6 3|9 8,5.8823314
51,Normal_bimodal,180,30,300,40,0.2,300,15.0,992.1635739040644,4 11|6 3|8 9,13.8460891
52,Normal_bimodal,180,30,300,40,0.2,300,25.0,992.1635739040644,4 11|6 3|8 9,13.6936131
53,Normal_bimodal,180,30,300,40,0.2,300,40.0,992.1635739040644,4 11|6 3|8 9,13.6778053
54,Normal_bimodal,180,30,300,40,0.2,300,50.0,992.1635739040644,4 11|6 3|8 9,14.455778
55,Normal_bimodal,180,30,300,40,0.4,300,5.0,960.8323061233411,3 1|3 9|10 8,5.8767701
56,Normal_bimodal,180,30,300,40,0.4,300,15.0,898.406554008202,5 11|8 2|2 4,20.0499896
57,Normal_bimodal,180,30,300,40,0.4,300,25.0,898.406554008202,5 11|8 2|2 4,19.8741446
58,Normal_bimodal,180,30,300,40,0.4,300,40.0,898.406554008202,5 11|8 2|2 4,19.9153501
59,Normal_bimodal,180,30,300,40,0.4,300,50.0,898.406554008202,5 11|8 2|2 4,20.1448868
60,Normal_bimodal,180,30,300,40,0.5,300,5.0,908.8702782312491,3 3|3 7|8 6,5.7678964
61,Normal_bimodal,180,30,300,40,0.5,300,15.0,865.8086669094052,6 2|7 7|7 1,20.5450069
62,Normal_bimodal,180,30,300,40,0.5,300,25.0,865.8086669094052,6 2|7 7|7 1,20.3256984
63,Normal_bimodal,180,30,300,40,0.5,300,40.0,865.8086669094052,6 2|7 7|7 1,39.5777372
64,Normal_bimodal,180,30,300,40,0.5,300,50.0,865.8086669094052,6 2|7 7|7 1,33.9944294
65,Normal_bimodal,180,30,300,40,0.6,300,5.0,866.0319112178455,2 1|4 9|10 7,7.866446
66,Normal_bimodal,180,30,300,40,0.6,300,15.0,824.4967871359075,2 9|9 10|10 3,22.3644035
67,Normal_bimodal,180,30,300,40,0.6,300,25.0,824.4967871359075,2 9|9 10|10 3,20.8064017
68,Normal_bimodal,180,30,300,40,0.6,300,40.0,824.4967871359075,2 9|9 10|10 3,20.1007332
69,Normal_bimodal,180,30,300,40,0.6,300,50.0,824.4967871359075,2 9|9 10|10 3,20.3054578
70,Normal_bimodal,180,30,300,40,0.8,300,5.0,741.1054371941905,2 2|3 9|10 6,5.851647
71,Normal_bimodal,180,30,300,40,0.8,300,15.0,736.5800373276937,7 7|9 7|3 1,20.2397794
72,Normal_bimodal,180,30,300,40,0.8,300,25.0,736.5800373276937,7 7|9 7|3 1,20.2768301
73,Normal_bimodal,180,30,300,40,0.8,300,40.0,736.5800373276937,7 7|9 7|3 1,20.2613052
74,Normal_bimodal,180,30,300,40,0.8,300,50.0,736.5800373276937,7 7|9 7|3 1,20.4078715
75,Normal_bimodal,180,30,300,30,0.2,300,5.0,1020.735473257937,2 5|6 3|9 8,5.948194
76,Normal_bimodal,180,30,300,30,0.2,300,15.0,992.9695924225828,4 11|6 3|8 9,13.5553688
77,Normal_bimodal,180,30,300,30,0.2,300,25.0,992.9695924225828,4 11|6 3|8 9,13.7853156
78,Normal_bimodal,180,30,300,30,0.2,300,40.0,992.9695924225828,4 11|6 3|8 9,14.4775303
79,Normal_bimodal,180,30,300,30,0.2,300,50.0,992.9695924225828,4 11|6 3|8 9,14.1705472
80,Normal_bimodal,180,30,300,30,0.4,300,5.0,960.681484364082,3 1|3 9|10 8,6.0509008
81,Normal_bimodal,180,30,300,30,0.4,300,15.0,898.5945709835104,4 5|6 7|10 3,21.4285786
82,Normal_bimodal,180,30,300,30,0.4,300,25.0,898.5945709835104,4 5|6 7|10 3,20.7700868
83,Normal_bimodal,180,30,300,30,0.4,300,40.0,898.5945709835104,4 5|6 7|10 3,20.5225505
84,Normal_bimodal,180,30,300,30,0.4,300,50.0,898.5945709835104,4 5|6 7|10 3,19.6815181
85,Normal_bimodal,180,30,300,30,0.5,300,5.0,908.6796416571749,3 3|3 7|8 6,5.822882
86,Normal_bimodal,180,30,300,30,0.5,300,15.0,854.4413246768436,3 6|8 9|7 6,19.6552243
87,Normal_bimodal,180,30,300,30,0.5,300,25.0,854.4413246768436,3 6|8 9|7 6,19.423891
88,Normal_bimodal,180,30,300,30,0.5,300,40.0,854.4413246768436,3 6|8 9|7 6,20.0147055
89,Normal_bimodal,180,30,300,30,0.5,300,50.0,854.4413246768436,3 6|8 9|7 6,20.0375394
90,Normal_bimodal,180,30,300,30,0.6,300,5.0,865.6437977919197,2 1|4 9|10 7,5.7437985
91,Normal_bimodal,180,30,300,30,0.6,300,15.0,824.5072115186236,2 9|9 10|10 3,20.0172499
92,Normal_bimodal,180,30,300,30,0.6,300,25.0,824.5072115186236,2 9|9 10|10 3,20.2636461
93,Normal_bimodal,180,30,300,30,0.6,300,40.0,824.5072115186236,2 9|9 10|10 3,20.1773113
94,Normal_bimodal,180,30,300,30,0.6,300,50.0,824.5072115186236,2 9|9 10|10 3,20.5120502
95,Normal_bimodal,180,30,300,30,0.8,300,5.0,741.208469601598,2 2|3 9|10 6,5.7967757
96,Normal_bimodal,180,30,300,30,0.8,300,15.0,736.4646283770763,7 7|9 7|3 1,20.2765721
97,Normal_bimodal,180,30,300,30,0.8,300,25.0,736.4646283770763,7 7|9 7|3 1,19.9438792
98,Normal_bimodal,180,30,300,30,0.8,300,40.0,736.4646283770763,7 7|9 7|3 1,20.2563225
99,Normal_bimodal,180,30,300,30,0.8,300,50.0,736.4646283770763,7 7|9 7|3 1,20.0640018
100,Normal_bimodal,180,30,300,20,0.2,300,5.0,1021.2077070542327,2 5|6 3|9 8,5.6892649
101,Normal_bimodal,180,30,300,20,0.2,300,15.0,993.8081340892495,4 11|6 3|8 9,13.5978373
102,Normal_bimodal,180,30,300,20,0.2,300,25.0,993.8081340892495,4 11|6 3|8 9,14.3425062
103,Normal_bimodal,180,30,300,20,0.2,300,40.0,993.8081340892495,4 11|6 3|8 9,13.4795614
104,Normal_bimodal,180,30,300,20,0.2,300,50.0,993.8081340892495,4 11|6 3|8 9,13.218569
105,Normal_bimodal,180,30,300,20,0.4,300,5.0,960.5086024196373,3 1|3 9|10 8,5.8723285
106,Normal_bimodal,180,30,300,20,0.4,300,15.0,936.4209608331126,9 11|8 2|5 7,19.9775687
107,Normal_bimodal,180,30,300,20,0.4,300,25.0,936.4209608331126,9 11|8 2|5 7,19.4387203
108,Normal_bimodal,180,30,300,20,0.4,300,40.0,936.4209608331126,9 11|8 2|5 7,19.5001025
109,Normal_bimodal,180,30,300,20,0.4,300,50.0,936.4209608331126,9 11|8 2|5 7,19.6069968
110,Normal_bimodal,180,30,300,20,0.5,300,5.0,908.5138546201379,3 3|3 7|8 6,5.6620181
111,Normal_bimodal,180,30,300,20,0.5,300,15.0,865.0738983908868,11 10|3 6|10 5,20.0208786
112,Normal_bimodal,180,30,300,20,0.5,300,25.0,865.0738983908868,11 10|3 6|10 5,20.069665
113,Normal_bimodal,180,30,300,20,0.5,300,40.0,865.0738983908868,11 10|3 6|10 5,19.7706186
114,Normal_bimodal,180,30,300,20,0.5,300,50.0,865.0738983908868,11 10|3 6|10 5,19.5243541
115,Normal_bimodal,180,30,300,20,0.6,300,5.0,865.2451403845123,2 1|4 9|10 7,5.6738057
116,Normal_bimodal,180,30,300,20,0.6,300,15.0,824.526856580352,2 9|9 10|10 3,19.7679519
117,Normal_bimodal,180,30,300,20,0.6,300,25.0,824.526856580352,2 9|9 10|10 3,19.6469521
118,Normal_bimodal,180,30,300,20,0.6,300,40.0,824.526856580352,2 9|9 10|10 3,19.6522096
119,Normal_bimodal,180,30,300,20,0.6,300,50.0,824.526856580352,2 9|9 10|10 3,19.7351239
120,Normal_bimodal,180,30,300,20,0.8,300,5.0,741.2716524719682,2 2|3 9|10 6,5.6275997
121,Normal_bimodal,180,30,300,20,0.8,300,15.0,736.3636561548543,7 7|9 7|3 1,19.6332884
122,Normal_bimodal,180,30,300,20,0.8,300,25.0,736.3636561548543,7 7|9 7|3 1,20.160453
123,Normal_bimodal,180,30,300,20,0.8,300,40.0,736.3636561548543,7 7|9 7|3 1,20.1909492
124,Normal_bimodal,180,30,300,20,0.8,300,50.0,736.3636561548543,7 7|9 7|3 1,20.0439172
125,Normal_bimodal,180,30,120,30,0.2,300,5.0,624.8455685014868,3 2|4 9|11 6,5.8430219
126,Normal_bimodal,180,30,120,30,0.2,300,15.0,624.8455685014868,6 6|0 10|1 1,20.1930137
127,Normal_bimodal,180,30,120,30,0.2,300,25.0,624.8455685014868,6 6|0 10|1 1,19.9653174
128,Normal_bimodal,180,30,120,30,0.2,300,40.0,624.8455685014868,6 6|0 10|1 1,20.4822954
129,Normal_bimodal,180,30,120,30,0.2,300,50.0,624.8455685014868,6 6|0 10|1 1,20.5287383
130,Normal_bimodal,180,30,120,30,0.4,300,5.0,580.4135198903757,3 2|4 9|11 6,5.7340129
131,Normal_bimodal,180,30,120,30,0.4,300,15.0,564.230230908424,0 1|0 7|5 2,19.9825821
132,Normal_bimodal,180,30,120,30,0.4,300,25.0,564.230230908424,0 1|0 7|5 2,20.2014026
133,Normal_bimodal,180,30,120,30,0.4,300,40.0,564.230230908424,0 1|0 7|5 2,20.169353
134,Normal_bimodal,180,30,120,30,0.4,300,50.0,564.230230908424,0 1|0 7|5 2,20.2885665
135,Normal_bimodal,180,30,120,30,0.5,300,5.0,558.0852212792645,3 2|4 9|11 6,5.669041
136,Normal_bimodal,180,30,120,30,0.5,300,15.0,558.0852212792645,4 0|7 9|11 7,19.9933959
137,Normal_bimodal,180,30,120,30,0.5,300,25.0,558.0852212792645,4 0|7 9|11 7,20.8840944
138,Normal_bimodal,180,30,120,30,0.5,300,40.0,558.0852212792645,4 0|7 9|11 7,20.1147201
139,Normal_bimodal,180,30,120,30,0.5,300,50.0,558.0852212792645,4 0|7 9|11 7,20.0059339
140,Normal_bimodal,180,30,120,30,0.6,300,5.0,535.7327097051905,3 2|4 9|11 6,5.8477751
141,Normal_bimodal,180,30,120,30,0.6,300,15.0,535.7327097051905,6 10|1 3|6 4,20.1343496
142,Normal_bimodal,180,30,120,30,0.6,300,25.0,535.7327097051905,6 10|1 3|6 4,20.7599725
143,Normal_bimodal,180,30,120,30,0.6,300,40.0,535.7327097051905,6 10|1 3|6 4,21.1413496
144,Normal_bimodal,180,30,120,30,0.6,300,50.0,535.7327097051905,6 10|1 3|6 4,21.2431762
145,Normal_bimodal,180,30,120,30,0.8,300,5.0,491.12228146444977,3 2|4 9|11 6,5.9597731
146,Normal_bimodal,180,30,120,30,0.8,300,15.0,491.12228146444977,5 0|7 10|11 4,21.2764084
147,Normal_bimodal,180,30,120,30,0.8,300,25.0,491.12228146444977,5 0|7 10|11 4,21.0701506
148,Normal_bimodal,180,30,120,30,0.8,300,40.0,491.12228146444977,5 0|7 10|11 4,21.0139788
149,Normal_bimodal,180,30,120,30,0.8,300,50.0,491.12228146444977,5 0|7 10|11 4,21.0710077
150,Normal_bimodal,180,30,120,20,0.2,300,5.0,624.9429064644498,3 2|4 9|11 6,5.973578
151,Normal_bimodal,180,30,120,20,0.2,300,15.0,624.9429064644498,6 6|0 10|1 1,20.8934851
152,Normal_bimodal,180,30,120,20,0.2,300,25.0,624.9429064644498,6 6|0 10|1 1,20.2348967
153,Normal_bimodal,180,30,120,20,0.2,300,40.0,624.9429064644498,6 6|0 10|1 1,20.4242616
154,Normal_bimodal,180,30,120,20,0.2,300,50.0,624.9429064644498,6 6|0 10|1 1,20.7201445
155,Normal_bimodal,180,30,120,20,0.4,300,5.0,580.2672467422275,3 2|4 9|11 6,6.0801805
156,Normal_bimodal,180,30,120,20,0.4,300,15.0,564.0717509701525,0 1|0 7|5 2,20.4708613
157,Normal_bimodal,180,30,120,20,0.4,300,25.0,564.0717509701525,0 1|0 7|5 2,20.0149827
158,Normal_bimodal,180,30,120,20,0.4,300,40.0,564.0717509701525,0 1|0 7|5 2,20.2379411
159,Normal_bimodal,180,30,120,20,0.4,300,50.0,564.0717509701525,0 1|0 7|5 2,20.253716
160,Normal_bimodal,180,30,120,20,0.5,300,5.0,557.8483694274128,3 2|4 9|11 6,5.8537988
161,Normal_bimodal,180,30,120,20,0.5,300,15.0,557.8483694274128,4 0|7 9|11 7,20.6569634
162,Normal_bimodal,180,30,120,20,0.5,300,25.0,557.8483694274128,4 0|7 9|11 7,20.9527533
163,Normal_bimodal,180,30,120,20,0.5,300,40.0,557.8483694274128,4 0|7 9|11 7,20.267259
164,Normal_bimodal,180,30,120,20,0.5,300,50.0,557.8483694274128,4 0|7 9|11 7,20.056465
165,Normal_bimodal,180,30,120,20,0.6,300,5.0,535.4523161866719,3 2|4 9|11 6,5.7332794
166,Normal_bimodal,180,30,120,20,0.6,300,15.0,535.4523161866719,6 10|1 3|6 4,20.6430671
167,Normal_bimodal,180,30,120,20,0.6,300,25.0,535.4523161866719,6 10|1 3|6 4,21.0054817
168,Normal_bimodal,180,30,120,20,0.6,300,40.0,535.4523161866719,6 10|1 3|6 4,20.3758942
169,Normal_bimodal,180,30,120,20,0.6,300,50.0,535.4523161866719,6 10|1 3|6 4,20.5113232
170,Normal_bimodal,180,30,120,20,0.8,300,5.0,490.8335314644496,3 2|4 9|11 6,5.7402726
171,Normal_bimodal,180,30,120,20,0.8,300,15.0,490.8335314644496,5 0|7 10|11 4,20.1919932
172,Normal_bimodal,180,30,120,20,0.8,300,25.0,490.8335314644496,5 0|7 10|11 4,20.0922184
173,Normal_bimodal,180,30,120,20,0.8,300,40.0,490.8335314644496,5 0|7 10|11 4,20.8515941
174,Normal_bimodal,180,30,120,20,0.8,300,50.0,490.8335314644496,5 0|7 10|11 4,20.1524026
175,Normal_bimodal,180,30,120,10,0.2,300,5.0,625.4461587792646,3 2|4 9|11 6,5.7352581
176,Normal_bimodal,180,30,120,10,0.2,300,15.0,625.4461587792646,6 6|0 10|1 1,20.2209391
177,Normal_bimodal,180,30,120,10,0.2,300,25.0,625.4461587792646,6 6|0 10|1 1,20.2252495
178,Normal_bimodal,180,30,120,10,0.2,300,40.0,625.4461587792646,6 6|0 10|1 1,20.3699591
179,Normal_bimodal,180,30,120,10,0.2,300,50.0,625.4461587792646,6 6|0 10|1 1,20.5036919
180,Normal_bimodal,180,30,120,10,0.4,300,5.0,580.2592490570423,3 2|4 9|11 6,5.6938083
181,Normal_bimodal,180,30,120,10,0.4,300,15.0,564.1162031306463,0 1|0 7|5 2,20.0250063
182,Normal_bimodal,180,30,120,10,0.4,300,25.0,564.1162031306463,0 1|0 7|5 2,20.2618131
183,Normal_bimodal,180,30,120,10,0.4,300,40.0,564.1162031306463,0 1|0 7|5 2,20.3228173
184,Normal_bimodal,180,30,120,10,0.4,300,50.0,564.1162031306463,0 1|0 7|5 2,20.5591489
185,Normal_bimodal,180,30,120,10,0.5,300,5.0,557.7574087792646,3 2|4 9|11 6,5.8355617
186,Normal_bimodal,180,30,120,10,0.5,300,15.0,557.7574087792646,4 0|7 9|11 7,21.0125361
187,Normal_bimodal,180,30,120,10,0.5,300,25.0,557.7574087792646,4 0|7 9|11 7,20.0573881
188,Normal_bimodal,180,30,120,10,0.5,300,40.0,557.7574087792646,4 0|7 9|11 7,20.0702154
189,Normal_bimodal,180,30,120,10,0.5,300,50.0,557.7574087792646,4 0|7 9|11 7,19.7899723
190,Normal_bimodal,180,30,120,10,0.6,300,5.0,535.2823972051904,3 2|4 9|11 6,5.6336392
191,Normal_bimodal,180,30,120,10,0.6,300,15.0,535.2823972051904,6 10|1 3|6 4,20.2486608
192,Normal_bimodal,180,30,120,10,0.6,300,25.0,535.2823972051904,6 10|1 3|6 4,19.7511668
193,Normal_bimodal,180,30,120,10,0.6,300,40.0,535.2823972051904,6 10|1 3|6 4,19.7274347
194,Normal_bimodal,180,30,120,10,0.6,300,50.0,535.2823972051904,6 10|1 3|6 4,20.0866071
195,Normal_bimodal,180,30,120,10,0.8,300,5.0,490.6239249829682,3 2|4 9|11 6,5.7480955
196,Normal_bimodal,180,30,120,10,0.8,300,15.0,490.6239249829682,5 0|7 10|11 4,20.5115649
197,Normal_bimodal,180,30,120,10,0.8,300,25.0,490.6239249829682,5 0|7 10|11 4,20.5263495
198,Normal_bimodal,180,30,120,10,0.8,300,40.0,490.6239249829682,5 0|7 10|11 4,21.6076167
199,Normal_bimodal,180,30,120,10,0.8,300,50.0,490.6239249829682,5 0|7 10|11 4,21.2297958
200,Normal_bimodal,180,20,300,60,0.2,300,5.0,1019.9422788134923,2 5|6 3|9 8,5.9549525
