k,obj_value,per_red
4,687.5658124979051,50
5,665.5256071077525,50
6,665.5256071077525,50
7,665.5256071077525,50
8,665.5256071077525,50
9,665.5256071077525,50
10,665.5256071077525,50
11,649.9823931949808,50
12,649.9823931949808,50
13,649.9823931949808,50
14,649.9823931949808,50
15,649.9823931949808,50
16,649.9823931949808,50
17,649.9823931949808,50
18,649.9823931949808,50
19,649.9823931949808,50
20,649.9823931949808,50
21,649.9823931949808,50
22,649.9823931949808,50
23,649.9823931949808,50
24,649.9823931949808,50
25,649.9823931949808,50
26,649.9823931949808,50
27,649.9823931949808,50
28,649.9823931949808,50
29,649.9823931949808,50
30,649.9823931949808,50
31,645.1831880584605,50
32,645.1831880584605,50
33,645.1831880584605,50
34,645.1831880584605,50
35,645.1831880584605,50
36,645.1831880584605,50
37,645.1831880584605,50
38,645.1831880584605,50
39,645.1831880584605,50
40,645.1831880584605,50
41,645.1831880584605,50
42,645.1831880584605,50
43,645.1831880584605,50
44,645.1831880584605,50
45,645.1831880584605,50
46,645.1831880584605,50
47,645.1831880584605,50
48,645.1831880584605,50
49,645.1831880584605,50
50,645.1831880584605,50
51,645.1831880584605,50
52,645.1831880584605,50
53,645.1831880584605,50
54,645.1831880584605,50
55,645.1831880584605,50
56,645.1831880584605,50
57,645.1831880584605,50
58,645.1831880584605,50
59,645.1831880584605,50
60,645.1831880584605,50
61,645.1831880584605,50
62,645.1831880584605,50
63,645.1831880584605,50
64,645.1831880584605,50
65,645.1831880584605,50
66,645.1831880584605,50
67,645.1831880584605,50
68,645.1831880584605,50
69,645.1831880584605,50
70,645.1831880584605,50
71,645.1831880584605,50
72,645.1831880584605,50
73,645.1831880584605,50
74,645.1831880584605,50
75,645.1831880584605,50
76,645.1831880584605,50
77,645.1831880584605,50
78,645.1831880584605,50
79,645.1831880584605,50
80,645.1831880584605,50
81,645.1831880584605,50
82,645.1831880584605,50
83,645.1831880584605,50
84,645.1831880584605,50
85,645.1831880584605,50
86,645.1831880584605,50
87,645.1831880584605,50
88,645.1831880584605,50
89,645.1831880584605,50
90,645.1831880584605,50
91,645.1831880584605,50
92,645.1831880584605,50
93,645.1831880584605,50
94,645.1831880584605,50
95,645.1831880584605,50
96,645.1831880584605,50
97,645.1831880584605,50
98,645.1831880584605,50
99,645.1831880584605,50
100,645.1831880584605,50
101,645.1831880584605,50
102,645.1831880584605,50
103,645.1831880584605,50
104,645.1831880584605,50
105,645.1831880584605,50
106,645.1831880584605,50
107,645.1831880584605,50
108,645.1831880584605,50
109,645.1831880584605,50
110,645.1831880584605,50
111,645.1831880584605,50
112,645.1831880584605,50
113,645.1831880584605,50
114,645.1831880584605,50
115,645.1831880584605,50
116,645.1831880584605,50
117,645.1831880584605,50
118,645.1831880584605,50
119,645.1831880584605,50
120,645.1831880584605,50
121,645.1831880584605,50
122,645.1831880584605,50
123,645.1831880584605,50
124,645.1831880584605,50
125,645.1831880584605,50
126,645.1831880584605,50
127,645.1831880584605,50
128,645.1831880584605,50
129,645.1831880584605,50
130,645.1831880584605,50
131,645.1831880584605,50
132,645.1831880584605,50
133,645.1831880584605,50
134,645.1831880584605,50
135,645.1831880584605,50
136,645.1831880584605,50
137,645.1831880584605,50
138,645.1831880584605,50
139,645.1831880584605,50
140,645.1831880584605,50
141,645.1831880584605,50
142,645.1831880584605,50
143,645.1831880584605,50
144,645.1831880584605,50
145,645.1831880584605,50
146,645.1831880584605,50
