k,obj_value,per_red
2,779.9957330250891,50
3,779.9957330250891,50
4,779.9957330250891,50
5,779.9957330250891,50
6,779.9957330250891,50
7,779.9957330250891,50
8,779.9957330250891,50
9,779.9957330250891,50
10,779.9957330250891,50
11,779.9957330250891,50
12,779.9957330250891,50
13,779.9957330250891,50
14,779.9957330250891,50
15,779.9957330250891,50
16,779.9957330250891,50
17,779.9957330250891,50
18,779.9957330250891,50
19,779.9957330250891,50
20,779.9957330250891,50
21,779.9957330250891,50
22,779.9957330250891,50
23,779.9957330250891,50
24,779.9957330250891,50
25,711.3271922913052,50
26,666.9319454229536,50
27,666.9319454229536,50
28,666.9319454229536,50
29,666.9319454229536,50
30,666.9319454229536,50
31,666.9319454229536,50
32,666.9319454229536,50
33,666.9319454229536,50
34,666.9319454229536,50
35,666.9319454229536,50
36,666.9319454229536,50
37,661.2618884139156,50
38,661.2618884139156,50
39,650.4794926058,50
40,650.4794926058,50
41,650.4794926058,50
42,650.4794926058,50
43,650.4794926058,50
44,650.4794926058,50
45,650.4794926058,50
46,650.4794926058,50
47,642.1706881691492,50
48,642.1706881691492,50
49,640.4579325730315,50
50,640.4579325730315,50
51,640.4579325730315,50
52,640.4579325730315,50
53,640.4579325730315,50
54,640.4579325730315,50
55,640.4579325730315,50
56,640.4579325730315,50
57,640.4579325730315,50
58,640.4579325730315,50
59,640.4579325730315,50
60,640.4579325730315,50
61,640.4579325730315,50
62,640.4579325730315,50
63,640.4579325730315,50
64,640.4579325730315,50
65,640.4579325730315,50
66,640.4579325730315,50
67,640.4579325730315,50
68,640.4579325730315,50
69,640.4579325730315,50
70,640.4579325730315,50
71,640.4579325730315,50
72,640.4579325730315,50
73,640.4579325730315,50
74,640.4579325730315,50
75,640.4579325730315,50
76,640.4579325730315,50
77,640.4579325730315,50
78,640.4579325730315,50
79,640.4579325730315,50
80,640.4579325730315,50
81,640.4579325730315,50
82,640.4579325730315,50
83,640.4579325730315,50
84,640.4579325730315,50
85,640.4579325730315,50
86,640.4579325730315,50
87,640.4579325730315,50
88,640.4579325730315,50
89,640.4579325730315,50
90,640.4579325730315,50
91,640.4579325730315,50
92,640.4579325730315,50
93,640.4579325730315,50
94,640.4579325730315,50
95,640.4579325730315,50
96,640.4579325730315,50
97,640.4579325730315,50
98,640.4579325730315,50
99,640.4579325730315,50
100,640.4579325730315,50
101,640.4579325730315,50
102,640.4579325730315,50
103,640.4579325730315,50
104,640.4579325730315,50
105,640.4579325730315,50
106,640.4579325730315,50
107,640.4579325730315,50
108,640.4579325730315,50
109,640.4579325730315,50
110,640.4579325730315,50
111,640.4579325730315,50
112,640.4579325730315,50
113,640.4579325730315,50
114,640.4579325730315,50
115,640.4579325730315,50
116,640.4579325730315,50
117,640.4579325730315,50
118,640.4579325730315,50
119,640.4579325730315,50
120,640.4579325730315,50
121,640.4579325730315,50
122,640.4579325730315,50
123,640.4579325730315,50
124,640.4579325730315,50
125,640.4579325730315,50
126,640.4579325730315,50
127,640.4579325730315,50
128,640.4579325730315,50
129,640.4579325730315,50
130,640.4579325730315,50
131,640.4579325730315,50
132,640.4579325730315,50
133,640.4579325730315,50
134,640.4579325730315,50
135,640.4579325730315,50
136,640.4579325730315,50
137,640.4579325730315,50
138,640.4579325730315,50
139,640.4579325730315,50
140,640.4579325730315,50
141,640.4579325730315,50
142,640.4579325730315,50
143,640.4579325730315,50
144,640.4579325730315,50
145,640.4579325730315,50
146,640.4579325730315,50
147,640.4579325730315,50
148,640.4579325730315,50
149,640.4579325730315,50
150,640.4579325730315,50
151,640.4579325730315,50
152,640.4579325730315,50
153,640.4579325730315,50
154,640.4579325730315,50
155,640.4579325730315,50
156,640.4579325730315,50
157,640.4579325730315,50
158,640.4579325730315,50
159,640.4579325730315,50
160,640.4579325730315,50
161,640.4579325730315,50
162,640.4579325730315,50
163,640.4579325730315,50
164,640.4579325730315,50
165,640.4579325730315,50
166,640.4579325730315,50
167,640.4579325730315,50
168,640.4579325730315,50
169,640.4579325730315,50
170,640.4579325730315,50
171,640.4579325730315,50
172,640.4579325730315,50
173,640.4579325730315,50
174,640.4579325730315,50
175,640.4579325730315,50
176,640.4579325730315,50
177,640.4579325730315,50
178,640.4579325730315,50
179,640.4579325730315,50
180,640.4579325730315,50
181,640.4579325730315,50
182,640.4579325730315,50
183,640.4579325730315,50
184,640.4579325730315,50
185,640.4579325730315,50
186,640.4579325730315,50
187,640.4579325730315,50
188,640.4579325730315,50
189,640.4579325730315,50
190,640.4579325730315,50
191,640.4579325730315,50
192,640.4579325730315,50
193,640.4579325730315,50
194,640.4579325730315,50
195,640.4579325730315,50
196,640.4579325730315,50
197,640.4579325730315,50
198,640.4579325730315,50
199,640.4579325730315,50
200,640.4579325730315,50
201,640.4579325730315,50
202,640.4579325730315,50
203,640.4579325730315,50
204,640.4579325730315,50
205,640.4579325730315,50
206,640.4579325730315,50
207,640.4579325730315,50
208,640.4579325730315,50
209,640.4579325730315,50
210,640.4579325730315,50
211,640.4579325730315,50
212,640.4579325730315,50
213,640.4579325730315,50
214,640.4579325730315,50
215,640.4579325730315,50
216,640.4579325730315,50
217,640.4579325730315,50
218,640.4579325730315,50
219,640.4579325730315,50
220,640.4579325730315,50
221,640.4579325730315,50
222,640.4579325730315,50
223,640.4579325730315,50
224,640.4579325730315,50
225,640.4579325730315,50
226,640.4579325730315,50
227,640.4579325730315,50
228,640.4579325730315,50
229,640.4579325730315,50
230,640.4579325730315,50
231,640.4579325730315,50
232,640.4579325730315,50
233,640.4579325730315,50
234,640.4579325730315,50
235,640.4579325730315,50
236,640.4579325730315,50
237,640.4579325730315,50
238,640.4579325730315,50
239,640.4579325730315,50
240,640.4579325730315,50
241,640.0558838113245,50
242,640.0558838113245,50
243,640.0558838113245,50
244,640.0558838113245,50
245,640.0558838113245,50
246,640.0558838113245,50
247,640.0558838113245,50
248,640.0558838113245,50
249,640.0558838113245,50
250,640.0558838113245,50
251,640.0558838113245,50
252,640.0558838113245,50
253,640.0558838113245,50
254,640.0558838113245,50
255,640.0558838113245,50
256,640.0558838113245,50
257,640.0558838113245,50
258,640.0558838113245,50
259,640.0558838113245,50
260,640.0558838113245,50
261,640.0558838113245,50
262,640.0558838113245,50
263,640.0558838113245,50
264,640.0558838113245,50
265,640.0558838113245,50
266,640.0558838113245,50
267,640.0558838113245,50
268,640.0558838113245,50
269,640.0558838113245,50
270,640.0558838113245,50
271,640.0558838113245,50
272,640.0558838113245,50
273,640.0558838113245,50
274,640.0558838113245,50
275,640.0558838113245,50
276,640.0558838113245,50
277,640.0558838113245,50
278,640.0558838113245,50
279,640.0558838113245,50
280,640.0558838113245,50
281,640.0558838113245,50
282,640.0558838113245,50
283,640.0558838113245,50
284,640.0558838113245,50
285,640.0558838113245,50
286,640.0558838113245,50
287,640.0558838113245,50
288,640.0558838113245,50
289,640.0558838113245,50
290,640.0558838113245,50
291,640.0558838113245,50
292,640.0558838113245,50
293,640.0558838113245,50
294,640.0558838113245,50
295,640.0558838113245,50
296,640.0558838113245,50
297,640.0558838113245,50
298,640.0558838113245,50
299,640.0558838113245,50
300,640.0558838113245,50
301,640.0558838113245,50
302,640.0558838113245,50
303,640.0558838113245,50
304,640.0558838113245,50
305,640.0558838113245,50
306,640.0558838113245,50
307,640.0558838113245,50
308,640.0558838113245,50
309,640.0558838113245,50
310,640.0558838113245,50
311,640.0558838113245,50
312,640.0558838113245,50
313,640.0558838113245,50
314,640.0558838113245,50
315,640.0558838113245,50
316,640.0558838113245,50
317,640.0558838113245,50
318,640.0558838113245,50
319,640.0558838113245,50
320,640.0558838113245,50
321,640.0558838113245,50
322,640.0558838113245,50
323,640.0558838113245,50
324,640.0558838113245,50
325,640.0558838113245,50
326,640.0558838113245,50
327,640.0558838113245,50
328,640.0558838113245,50
329,640.0558838113245,50
330,640.0558838113245,50
331,640.0558838113245,50
332,640.0558838113245,50
333,640.0558838113245,50
334,640.0558838113245,50
335,640.0558838113245,50
336,640.0558838113245,50
337,640.0558838113245,50
338,640.0558838113245,50
339,640.0558838113245,50
340,640.0558838113245,50
