k,obj_value,per_red
2,778.8222990437043,50
3,778.8222990437043,50
4,778.8222990437043,50
5,778.8222990437043,50
6,778.8222990437043,50
7,778.8222990437043,50
8,778.8222990437043,50
9,778.8222990437043,50
10,778.8222990437043,50
11,778.8222990437043,50
12,778.8222990437043,50
13,778.8222990437043,50
14,778.8222990437043,50
15,778.8222990437043,50
16,778.8222990437043,50
17,778.8222990437043,50
18,778.8222990437043,50
19,778.8222990437043,50
20,778.8222990437043,50
21,778.8222990437043,50
22,778.8222990437043,50
23,778.8222990437043,50
24,778.8222990437043,50
25,711.0718538839678,50
26,667.6150918422436,50
27,667.6150918422436,50
28,667.6150918422436,50
29,667.6150918422436,50
30,667.6150918422436,50
31,667.6150918422436,50
32,667.6150918422436,50
33,667.6150918422436,50
34,667.6150918422436,50
35,667.6150918422436,50
36,667.6150918422436,50
37,660.8618252663264,50
38,660.8618252663264,50
39,650.8939525805367,50
40,650.8939525805367,50
41,650.8939525805367,50
42,650.8939525805367,50
43,650.8939525805367,50
44,650.8939525805367,50
45,650.8939525805367,50
46,650.8939525805367,50
47,641.6445151059295,50
48,641.6445151059295,50
49,639.6993447723355,50
50,639.6993447723355,50
51,639.6993447723355,50
52,639.6993447723355,50
53,639.6993447723355,50
54,639.6993447723355,50
55,639.6993447723355,50
56,639.6993447723355,50
57,639.6993447723355,50
58,639.6993447723355,50
59,639.6993447723355,50
60,639.6993447723355,50
61,639.6993447723355,50
62,639.6993447723355,50
63,639.6993447723355,50
64,639.6993447723355,50
65,639.6993447723355,50
66,639.6993447723355,50
67,639.6993447723355,50
68,639.6993447723355,50
69,639.6993447723355,50
70,639.6993447723355,50
71,639.6993447723355,50
72,639.6993447723355,50
73,639.6993447723355,50
74,639.6993447723355,50
75,639.6993447723355,50
76,639.6993447723355,50
77,639.6993447723355,50
78,639.6993447723355,50
79,639.6993447723355,50
80,639.6993447723355,50
81,639.6993447723355,50
82,639.6993447723355,50
83,639.6993447723355,50
84,639.6993447723355,50
85,639.6993447723355,50
86,639.6993447723355,50
87,639.6993447723355,50
88,639.6993447723355,50
89,639.6993447723355,50
90,639.6993447723355,50
91,639.6993447723355,50
92,639.6993447723355,50
93,639.6993447723355,50
94,639.6993447723355,50
95,639.6993447723355,50
96,639.6993447723355,50
97,639.6993447723355,50
98,639.6993447723355,50
99,639.6993447723355,50
100,639.6993447723355,50
101,639.6993447723355,50
102,639.6993447723355,50
103,639.6993447723355,50
104,639.6993447723355,50
105,639.6993447723355,50
106,639.6993447723355,50
107,639.6993447723355,50
108,639.6993447723355,50
109,639.6993447723355,50
110,639.6993447723355,50
111,639.6993447723355,50
112,639.6993447723355,50
113,639.6993447723355,50
114,639.6993447723355,50
115,639.6993447723355,50
116,639.6993447723355,50
117,639.6993447723355,50
118,639.6993447723355,50
119,639.6993447723355,50
120,639.6993447723355,50
121,639.6993447723355,50
122,639.6993447723355,50
123,639.6993447723355,50
124,639.6993447723355,50
125,639.6993447723355,50
126,639.6993447723355,50
127,639.6993447723355,50
128,639.6993447723355,50
129,639.6993447723355,50
130,639.6993447723355,50
131,639.6993447723355,50
132,639.6993447723355,50
133,639.6993447723355,50
134,639.6993447723355,50
135,639.6993447723355,50
136,639.6993447723355,50
137,639.6993447723355,50
138,639.6993447723355,50
139,639.6993447723355,50
140,639.6993447723355,50
141,639.6993447723355,50
142,639.6993447723355,50
143,639.6993447723355,50
144,639.6993447723355,50
145,639.6993447723355,50
146,639.6993447723355,50
147,639.6993447723355,50
148,639.6993447723355,50
149,639.6993447723355,50
150,639.6993447723355,50
151,639.6993447723355,50
152,639.6993447723355,50
153,639.6993447723355,50
154,639.3959668526877,50
155,638.9582804255149,50
156,638.9582804255149,50
157,638.9582804255149,50
158,638.9582804255149,50
159,638.9582804255149,50
160,638.9582804255149,50
161,638.9582804255149,50
162,638.9582804255149,50
163,638.9582804255149,50
164,638.9582804255149,50
165,638.9582804255149,50
166,638.9582804255149,50
167,638.9582804255149,50
168,638.9582804255149,50
169,638.9582804255149,50
170,638.9582804255149,50
171,638.9582804255149,50
